Date,Number_of_damages,Max_high_wind,Mean_high_wind,Max_mean_wind,Mean_mean_wind,Category
2021-01-01,0,10.8,6.73125,7.4,4.8133333333333335,0
2021-01-02,0,15.1,8.2470588235294109,12.3,6.1375,0
2021-01-03,0,15,6.352941176470588,10,4.98125,0
2021-01-04,0,11.2,6,6.6,4.7125,0
2021-01-05,0,12.9,6.182352941176471,6.7,4.69375,0
2021-01-06,0,11,6,7,4.675,0
2021-01-07,0,18.3,8.994117647058824,11.4,6.65,0
2021-01-08,0,18.7,8.3,11.8,6.34,0
2021-01-09,2,35.8,22.86875,27,15.373333333333333,1
2021-01-10,1,32.4,20.6,22.7,15.142857142857142,1
2021-01-11,0,40.9,11.771428571428572,12.5,7.86923076923077,0
2021-01-12,0,28.1,17.21875,21.8,11.146666666666667,0
2021-01-13,0,25.1,16.294117647058822,22.4,11.7,0
2021-01-14,1,9.4,6.823529411764706,7.8,5.14375,1
2021-01-15,0,8.8,5.958823529411765,7.2,4.6,0
2021-01-16,0,20.3,8.270588235294118,12.8,6.1312500000000005,0
2021-01-17,0,20.5,12.552941176470588,15.4,8.7125,0
2021-01-18,0,18.6,12.688235294117646,14.2,8.93125,0
2021-01-19,0,21.1,11.958823529411765,13.1,8.35,0
2021-01-20,0,23.7,11.841176470588236,16.8,8.875,0
2021-01-21,0,24.2,13.405882352941177,18.9,10.08125,0
2021-01-22,0,22.2,11.776470588235295,15.7,8.5625,0
2021-01-23,1,20.8,13.48235294117647,14.4,9.90625,1
2021-01-24,0,16.1,11.252941176470589,13.8,8.175,0
2021-01-25,0,13.6,8.6625,11.4,6.673333333333334,0
2021-01-26,0,21.6,10.84375,17.2,8.346666666666668,0
2021-01-27,0,17.5,8.725,14.2,6.826666666666666,0
2021-01-28,0,21.9,14.50625,18.7,10.626666666666667,0
2021-01-29,0,26,15.33125,18.1,11.093333333333334,0
2021-01-30,0,18.9,12.06875,16.4,9.213333333333333,0
2021-01-31,0,18.7,9.25,13.8,6.753333333333334,0
2021-02-01,0,18.6,9.98125,15.5,7.5,0
2021-02-02,2,15.3,8.65625,12.6,6.58,1
2021-02-03,0,16.8,8.42,11.2,6.08,0
2021-02-04,0,20.3,12.606666666666667,13.1,9.18,0
2021-02-05,0,14.5,9.9125,9.9,7.2375,0
2021-02-06,0,14.9,8.44375,9.7,6.2625,0
2021-02-07,0,14.5,10.95625,10.7,8.2875,0
2021-02-08,0,15.3,8.88125,11.5,6.68125,0
2021-02-09,0,16.3,7.541176470588235,13.2,6.00625,0
2021-02-10,0,18.3,10.2,14.6,7.81875,0
2021-02-11,0,14.9,10.194117647058823,11.2,7.8375,0
2021-02-12,0,14.6,8.064705882352941,12.1,6.44375,0
2021-02-13,0,20.7,9.988235294117647,16.9,7.6812499999999995,0
2021-02-14,0,18.8,10.3,11.7,7.56875,0
2021-02-15,0,25.1,13.676470588235293,14.1,9.46875,0
2021-02-16,0,23.6,11.988235294117647,14.5,8.5375,0
2021-02-17,0,28.7,14.28235294117647,17.6,10.0875,0
2021-02-18,0,27.4,17.123529411764707,18,11.6625,0
2021-02-19,0,27.5,16.847058823529412,17.3,12.0625,0
2021-02-20,0,24.9,15.452941176470588,17.9,10.6125,0
2021-02-21,0,33.1,19.729411764705883,27.6,13.44375,0
2021-02-22,0,19,12.735294117647058,13.5,8.9,0
2021-02-23,1,37.8,20.18235294117647,25.4,13.35625,1
2021-02-24,0,34.8,22.95294117647059,24.9,15.3,0
2021-02-25,0,30.1,17.2,24.7,12.38125,0
2021-02-26,0,28.9,18.358823529411765,22.4,13.19375,0
2021-02-27,0,31.9,18.6,22.4,13.59375,0
2021-02-28,1,26.8,16.66470588235294,21.6,12.11875,1
2021-03-01,3,37,21.605882352941176,26.6,15.1875,1
2021-03-02,1,32,15.223529411764705,23.1,11.418750000000001,1
2021-03-03,0,27.1,14.905882352941177,20.9,10.525,0
2021-03-04,0,24.2,13.647058823529411,16.5,9.53125,0
2021-03-05,0,24.9,14.035294117647059,19.2,10.65,0
2021-03-06,1,40.4,22.235294117647058,30.8,15.53125,1
2021-03-07,0,32.4,20.458823529411763,26.5,12.99375,0
2021-03-08,0,26.8,16.8,21.7,12.43125,0
2021-03-09,0,28.7,16.08823529411765,22.1,11.98125,0
2021-03-10,4,35.1,22.188235294117646,27.8,15.08125,1
2021-03-11,11,44.8,24.55294117647059,29.6,16.525,1
2021-03-12,0,24.1,17.476470588235294,18.5,12.387500000000001,0
2021-03-13,1,19.9,11.870588235294118,15.1,8.45625,1
2021-03-14,0,14.4,9.294117647058824,12.6,6.95625,0
2021-03-15,3,15.3,9.823529411764707,13.2,7.4625,1
2021-03-16,0,16.4,9.676470588235293,13.4,7.25,0
2021-03-17,0,15.5,8.494117647058824,12.5,6.41875,0
2021-03-18,0,17,7.7823529411764705,14.1,5.825,0
2021-03-19,0,22.5,12.882352941176471,17.5,9.79375,0
2021-03-20,1,33.7,20.688235294117646,24.8,14.575,1
2021-03-21,0,32.1,18.570588235294117,25.4,12.424999999999999,0
2021-03-22,1,29.6,15.423529411764706,22.9,11.4,1
2021-03-23,1,30.1,18.694117647058825,21.4,13.36875,1
2021-03-24,0,32.4,23.552941176470586,26,16.4125,0
2021-03-25,0,25.7,16.064705882352943,20.1,11.78125,0
2021-03-26,1,27.9,17.494117647058822,20.5,11.91875,1
2021-03-27,0,29.8,21.776470588235295,22.6,15.25,0
2021-03-28,1,24,17.13529411764706,16.1,11.56875,1
2021-03-29,8,43.5,27.776470588235295,31.3,19.075,1
2021-03-30,2,34,20.8375,24.8,14.753333333333334,1
2021-03-31,0,13.1,8.21875,10.6,6.18,0
2021-04-01,1,27.1,15.511764705882353,20.4,11.8375,1
2021-04-02,1,30.3,16.19375,23.1,11.493333333333334,1
2021-04-03,2,26.1,15.5,20.1,11.53125,1
2021-04-04,4,40,25.21875,28.9,17.073333333333334,1
2021-04-05,8,36.4,24.74375,27.8,16.173333333333332,1
2021-04-06,3,41.2,25.053333333333335,32.8,15.842857142857143,1
2021-04-07,0,26.2,14.946666666666667,21.2,10.021428571428572,0
2021-04-08,0,22.1,14.986666666666666,13.9,10.057142857142857,0
2021-04-09,0,24.8,17.96666666666667,21.1,13.107142857142858,0
2021-04-10,0,34.1,18.946666666666665,27.4,13.592857142857143,0
2021-04-11,0,20.6,12.833333333333334,15.8,9.592857142857143,0
2021-04-12,0,20,12.693333333333333,16.7,8.92142857142857,0
2021-04-13,0,19.2,13.16,15.7,9.114285714285714,0
2021-04-14,1,20,11.946666666666667,16.8,9.207142857142857,1
2021-04-15,0,14.2,7.72,11.5,5.9071428571428575,0
2021-04-16,0,13.2,7.426666666666667,9.8,5.0928571428571425,0
