Bergen,DK1,DK2,EE,ELE,FI,FRE,KT,Kristiansand,LT,LV,Molde,Oslo,SE,SE1,SE2,SE3,SE4,SYS,Trondheim,Tromsoe,date,price
2725,5411,4680,NA,NA,4356,NA,6577,2725,NA,NA,4475,2725,4356,NA,NA,NA,NA,3786,4475,4458,2008-04-01,25.855625
1264,5330,5350,NA,NA,3837,NA,5520,1264,NA,NA,3921,1264,3837,NA,NA,NA,NA,2580,3921,4481,2008-05-01,26.805500000000002
2499,6711,6886,NA,NA,5762,NA,7323,2499,NA,NA,5671,2499,5762,NA,NA,NA,NA,4046,5671,5466,2008-06-01,29.095599999999997
3738,6596,6500,NA,NA,5907,NA,6783,3738,NA,NA,5723,3738,5907,NA,NA,NA,NA,4443,5723,5445,2008-07-01,27.1945
4883,6393,6611,NA,NA,6525,NA,6222,4883,NA,NA,6399,4883,6530,NA,NA,NA,NA,5462,6399,5721,2008-08-01,25.712
6404,7957,7577,NA,NA,7337,NA,NA,6404,NA,NA,7386,6404,7348,NA,NA,NA,NA,6747,7386,6902,2008-09-01,25.7048
5393,6081,6624,NA,NA,6035,NA,NA,5393,NA,NA,6084,5393,6051,NA,NA,NA,NA,5648,6084,5868,2008-10-01,22.0415
4936,5169,5920,NA,NA,5245,NA,6337,4936,NA,NA,5313,4936,5292,NA,NA,NA,NA,5127,5313,5295,2008-11-01,18.24
4267,4620,5497,NA,NA,4436,NA,5494,4267,NA,NA,4483,4267,4483,NA,NA,NA,NA,4452,4483,4483,2008-12-01,16.2441
4076,4234,4514,NA,NA,4108,NA,5508,4076,NA,NA,4113,4076,4112,NA,NA,NA,NA,4141,4113,4113,2009-01-01,13.405999999999999
3810,3857,4007,NA,NA,3833,NA,4589,3810,NA,NA,3857,3810,3846,NA,NA,NA,NA,3821,3857,3857,2009-02-01,10.0345
3482,3481,3593,NA,NA,3488,NA,3708,3482,NA,NA,3533,3482,3533,NA,NA,NA,NA,3506,3533,3533,2009-03-01,12.2548
3326,3492,3470,NA,NA,3446,NA,3354,3326,NA,NA,3555,3326,3448,NA,NA,NA,NA,3404,3555,3538,2009-04-01,14.181249999999999
3217,3277,3337,NA,NA,3313,NA,3139,3217,NA,NA,3391,3217,3313,NA,NA,NA,NA,3267,3391,3383,2009-05-01,15.607999999999999
3529,3574,3590,NA,NA,3538,NA,3397,3529,NA,NA,3595,3529,3546,NA,NA,NA,NA,3537,3595,3555,2009-06-01,14.018799999999999
3239,3404,3459,NA,NA,3381,NA,3572,3239,NA,NA,3256,3239,3375,NA,NA,NA,NA,3281,3256,3354,2009-07-01,14.469000000000001
2981,3635,3919,NA,NA,3727,NA,3719,2981,NA,NA,3171,2981,3688,NA,NA,NA,NA,3241,3171,3158,2009-08-01,15.184800000000001
2289,3405,4042,NA,NA,3560,NA,3966,2289,NA,NA,2462,2289,3554,NA,NA,NA,NA,2861,2462,2462,2009-09-01,14.2295
3214,3573,4552,NA,NA,3508,NA,4620,3214,NA,NA,3240,3214,3508,NA,NA,NA,NA,3376,3240,3207,2009-10-01,14.5505
3578,3633,4138,NA,NA,3669,NA,NA,3578,NA,NA,3669,3578,3669,NA,NA,NA,NA,3638,3669,3667,2009-11-01,13.8296
3769,3708,5207,NA,NA,4798,NA,NA,3769,NA,NA,4812,3769,4812,NA,NA,NA,NA,3960,4812,4812,2009-12-01,13.518625
4681,4329,6612,NA,NA,6578,NA,NA,4681,NA,NA,6598,5018,6578,NA,NA,NA,NA,5338,6598,6566,2010-01-01,13.187
5596,4345,9391,NA,NA,9370,NA,NA,5596,NA,NA,9606,7937,9399,NA,NA,NA,NA,6892,9606,9399,2010-02-01,13.035
5625,4212,5636,NA,NA,5522,NA,NA,5591,NA,NA,6364,6022,5906,NA,NA,NA,NA,5704,6364,5940,2010-03-01,13.004100000000001
4845,4111,4109,3579,NA,4371,NA,NA,4845,NA,NA,4674,4845,4422,NA,NA,NA,NA,4687,4674,4660,2010-04-01,14.306
4522,4173,3928,3481,NA,3947,NA,NA,4516,NA,NA,4341,4511,3965,NA,NA,NA,NA,4298,4341,4343,2010-05-01,15.343200000000001
4592,4549,4365,3845,NA,4196,NA,NA,4583,NA,NA,4431,4567,4196,NA,NA,NA,NA,4476,4431,4495,2010-06-01,15.400375
4552,4681,4714,4790,NA,4876,NA,NA,4552,NA,NA,4558,4552,4581,NA,NA,NA,NA,4543,4558,4546,2010-07-01,14.1595
4285,4328,4730,5662,NA,4321,NA,NA,4285,NA,NA,4272,4285,4321,NA,NA,NA,NA,4289,4272,4262,2010-08-01,14.7712
4860,4986,5120,5063,NA,5120,NA,NA,4860,NA,NA,5133,4860,5120,NA,NA,NA,NA,4937,5133,4980,2010-09-01,15.29925
4892,4948,5206,4946,NA,5123,NA,NA,4891,NA,NA,5115,4892,5132,NA,NA,NA,NA,4966,5115,5051,2010-10-01,15.2975
5463,5045,5596,5034,NA,5663,NA,NA,5360,NA,NA,5627,5509,5626,NA,NA,NA,NA,5478,5627,5623,2010-11-01,14.786
8250,6050,9164,5277,NA,9134,NA,NA,7256,NA,NA,9186,8283,9186,NA,NA,NA,NA,8165,9186,9186,2010-12-01,14.222125
7235,5289,5436,4315,NA,6892,NA,NA,6957,NA,NA,7015,7187,6972,NA,NA,NA,NA,6962,7015,7015,2011-01-01,14.3636
6591,5175,5223,4770,NA,6458,NA,NA,6436,NA,NA,6492,6594,6453,NA,NA,NA,NA,6446,6492,6492,2011-02-01,14.858
6532,5515,5517,4784,NA,6091,NA,NA,6519,NA,NA,6405,6532,6329,NA,NA,NA,NA,6422,6405,6392,2011-03-01,16.2315
5467,5435,5508,4737,NA,5442,NA,NA,5467,NA,NA,5447,5467,5447,NA,NA,NA,NA,5449,5447,5451,2011-05-01,16.2985
4572,5199,5226,4745,NA,4854,NA,NA,4834,NA,NA,4843,4834,4855,NA,NA,NA,NA,4840,4843,4843,2011-06-01,14.8095
3558,4220,4325,4295,NA,4220,NA,NA,3745,NA,NA,3953,3745,3978,NA,NA,NA,NA,3878,3953,3916,2011-07-01,12.5655
3658,4542,4880,4760,NA,4898,NA,NA,3658,NA,NA,4071,3658,4213,NA,NA,NA,NA,4014,4071,4089,2011-08-01,12.2184
2236,4779,4835,4086,NA,3886,NA,NA,2319,NA,NA,3203,2318,3210,NA,NA,NA,NA,2894,3203,3278,2011-09-01,11.61975
2450,4275,4692,4149,NA,3690,NA,NA,2600,NA,NA,2943,2600,3049,NA,NA,NA,NA,2796,2943,2921,2011-10-01,10.24
4014,4545,5000,4112,NA,4203,NA,NA,4051,NA,NA,4028,4051,NA,4160,4160,4352,4988,4118,4028,3904,2011-11-01,9.0475
3421,3397,3461,3261,NA,3334,NA,NA,3421,NA,NA,3323,3421,NA,3321,3321,3322,3445,3374,3323,3321,2011-12-01,7.39675
3512,3701,3765,3977,NA,3882,NA,NA,3495,NA,NA,3682,3645,NA,3714,3714,3820,3826,3718,3682,3682,2012-01-01,7.0778
4551,4835,5343,4847,NA,5281,NA,NA,4448,NA,NA,4833,4720,NA,4840,4840,5080,5275,4906,4833,4833,2012-02-01,8.513
2870,3152,3200,3921,NA,3651,NA,NA,2870,NA,NA,2826,2876,NA,2830,2902,2902,2972,2920,2826,2834,2012-03-01,7.517499999999999
